Symbol,NAME,PERCENT,Cumulative,Perpetual,Convertible,Redeemable,Other,Original Call Date,Actual Date Called
BCS-A,"Barclays Bank plc,",7.10%,No,No,No,No,Non-cum Callable Dollar Preference Shares Series 3 ADR,12/15/12,3/15/17
INZ,"ING Groep N.V.,",7.20%,No,Yes,No,No,ING Perpetual Debt Securities,12/15/07,3/15/17
RJD,"Raymond James Financial,",6.90%,No,No,No,No,Senior Notes due 3/15/2042,3/15/17,3/15/17
HCN-J,"Welltower, Inc.,",6.50%,Yes,No,No,Yes,Series J Cumulative Redeemable Preferred Stock,3/07/17,3/07/17
HTGY,"Hercules Capital,",7.00%,No,No,No,No,Senior Notes due 9/30/2019,9/30/15,2/24/17
HTGZ,"Hercules Capital,",7.00%,No,No,No,No,Senior Notes due 4/30/2019,4/30/15,2/24/17
NNN-D,"National Retail Properties,",6.625%,Yes,No,No,Yes,Dep Shares Series D Cumul Red Preferred Stk,2/23/17,2/23/17
MCQ,"Medley Capital Corp.,",7.125%,No,No,No,No,Senior Notes due 3/30/2019,3/30/15,2/22/17
REG-F,"Regency Centers Corp.,",6.625%,Yes,No,No,Yes,Series 6 Cumulative Redeemable Preferred Stock,2/16/17,2/16/17
KEY-H,"KeyCorp,",8.625%,No,Yes,No,No,Fixed/Float Perp Non-Cumulative Preferred Stock Series C,2/15/17,2/15/17
KCC,"Structured Products CorTS II, Provident Financing Trust I,",8.20%,No,No,No,No,Certificates,3/21/06,2/13/17
HPTRP,"Hospitality Properties Trust,",7.125%,Yes,No,No,Yes,Series D Cumul Redeem Preferred Shares,1/15/17,2/10/17
CVB,"Lehman ABS Corp Bkd Trust Certs 2002-06,",7.75%,No,No,No,No,Kinder Morgan Debentures,4/16/07,2/02/17
FRC-A,"First Republic Bank,",6.70%,No,Yes,No,No,Dep Shares Series A Non-cumul Perp Preferred Stock,1/15/17,1/30/17
PSB-S*,"PS Business Parks,",6.45%,Yes,No,No,No,"Dep Shares Cumulative Preferred Stock, Series S",1/18/17,1/18/17
SAQ*,"Saratoga Investment Corp.,",7.50%,No,No,No,No,Notes due 5/31/2020,5/31/16,1/13/17
UVVZP,"Universal Corp.,",6.75%,No,Yes,Yes,No,Convertible Perpetual Preferred Stock,3/15/13,1/13/17
AHL-A*,"Aspen Insurance Holdings Ltd,",7.401%,No,Yes,No,No,Fixed/Adj Perp Non-Cumul Preference Shares,1/01/17,1/01/17
DTZ,"DTE Energy Co.,",6.50% 2011,No,No,No,No,Series I Junior Subordinate Debentures due 12/1/2061,12/01/16,12/28/16
IRET-*,"Investors Real Estate Trust,",8.25%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Shares,4/26/09,12/02/16
AVV*,"Aviva plc,",8.25%,No,No,No,No,Capital Securities due 12/1/2041,12/01/16,12/01/16
KFH*,"KKR Financial Holdings LLC,",8.375%,No,No,No,No,Senior Notes due 11/15/2041,11/15/16,11/15/16
EPM-A*,"Evolution Petroleum Corp.,",8.50%,Yes,No,No,No,Series A Cumulative Preferred Stock,7/01/14,11/14/16
CUBE-A*,"CubeSmart,",7.75%,Yes,No,No,Yes,Series A Cumulative Redeemable Preferred Shares,11/02/16,11/02/16
STAG-A*,"Stag Industrial,",9.00%,Yes,No,No,Yes,Series A Cumulative Redeemable Preferred Stock,11/02/16,11/02/16
PRE-D*,"PartnerRe Ltd,",6.50%,Yes,No,No,Yes,Series D Cumulative Redeemable Preferred Shares,11/15/09,11/01/16
PRE-E*,"PartnerRe Ltd,",7.25%,Yes,No,No,Yes,Series E Cumulative Redeemable Preferred Shares,6/01/16,11/01/16
CCI-A*,"Crown Castle Intl Corp.,",4.50%,No,No,Yes,No,"Mandatory Convertible Preferred Stock, Series A",11/01/16,11/01/16
GSJ*,"Goldman Sachs Group,",6.50%,No,No,No,No,Notes due 11/1/2061,11/01/16,11/01/16
AHHAP*,"Accredited Mortgage Loan REIT Trust,",9.75%,Yes,No,No,No,Cumul Preferred Shares A,9/30/09,10/31/16
DORLP*,"Doral Financial Corp.,",7.00%,No,No,No,No,Non-cumul Monthly Income Preferred Stock Series A,2/28/06,10/28/16
DORLQ*,"Doral Financial Corp.,",4.75%,Yes,Yes,Yes,No,Perpetual Cumulative Convertible Preferred Stock,9/30/08,10/28/16
DORNQ*,"Doral Financial Corp.,",7.25%,No,No,No,No,Non-cumul Monthly Income Preferred Stock Series C,5/31/09,10/28/16
DOROQ*,"Doral Financial Corp.,",8.35%,No,No,No,No,"Non-cumul Monthly Income Preferred Stock, Series B",9/30/07,10/28/16
INN-A*,"Summit Hotel Properties,",9.25%,Yes,No,No,Yes,Series A Cumulative Redeemable Preferred Stock,10/28/16,10/28/16
EYMXP*,"Entergy Mississippi,",6.25%,Yes,No,No,No,Series Cumulative Preferred Stock,8/01/10,10/25/16
