Symbol,NAME,PERCENT,Cumulative,Perpetual,Convertible,Redeemable,Other,Original Call Date,Actual Date Called
HUSI-F*,N/A,N/A,No,No,No,No,N/A,4/07/10,6/30/16
HUSI-G*,N/A,N/A,No,No,No,No,N/A,1/01/11,6/30/16
UBS-D*,N/A,N/A,No,No,No,No,N/A,6/15/08,6/15/16
MXEIP*,N/A,N/A,No,No,No,No,N/A,N/A,2/05/16
AVSSO*,N/A,N/A,No,No,No,No,N/A,N/A,1/14/16
SCEDN*,N/A,N/A,No,No,No,No,N/A,4/30/10,9/16/15
HUSI-D*,N/A,N/A,No,No,No,No,N/A,7/01/99,6/26/15
CNDIF*,N/A,N/A,No,No,No,No,N/A,N/A,5/01/15
MMF**,N/A,N/A,No,No,No,No,N/A,N/A,12/02/14
AALCP*,N/A,N/A,No,No,No,No,N/A,N/A,4/08/14
IDI+*,N/A,N/A,No,No,No,No,N/A,N/A,12/26/13
NAZ-C*,N/A,N/A,No,No,No,No,N/A,N/A,12/20/13
NAZ-D*,N/A,N/A,No,No,No,No,N/A,N/A,12/20/13
NUO-A*,N/A,N/A,No,No,No,No,N/A,N/A,10/07/13
NUO-C*,N/A,N/A,No,No,No,No,N/A,N/A,10/07/13
NUO-D*,N/A,N/A,No,No,No,No,N/A,N/A,10/07/13
MFSA*,N/A,N/A,No,No,No,No,N/A,N/A,9/17/13
FMS-*,N/A,N/A,No,No,No,No,N/A,N/A,6/28/13
GYA*,N/A,N/A,No,No,No,No,N/A,3/08/09,5/28/13
PAO*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PCA*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PJB*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PIC*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PKN*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PLK*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PMA*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PYH*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PTO*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
CVRT*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
GWO*,N/A,N/A,No,No,No,No,N/A,N/A,2/26/13
FIAZY*,N/A,N/A,No,No,No,No,N/A,N/A,2/25/13
GEP*,N/A,N/A,No,No,No,No,N/A,1/28/10,1/18/13
GJI*,N/A,N/A,No,No,No,No,N/A,N/A,11/29/12
SKOR*,N/A,N/A,No,No,No,No,N/A,N/A,8/20/12
GJN*,N/A,N/A,No,No,No,No,N/A,N/A,7/12/12
ZB-E*,N/A,N/A,No,No,No,No,N/A,6/15/12,6/15/12
WCAT*,N/A,N/A,No,No,No,No,N/A,N/A,5/02/12
SEFL*,N/A,N/A,No,No,No,No,N/A,N/A,4/03/12
OTP*,N/A,N/A,No,No,No,No,N/A,N/A,3/26/12
MRT-A*,N/A,N/A,No,No,No,No,N/A,2/26/12,1/23/12
BDH*,N/A,N/A,No,No,No,No,N/A,N/A,12/23/11
BHH*,N/A,N/A,No,No,No,No,N/A,N/A,12/23/11
IAH*,N/A,N/A,No,No,No,No,N/A,N/A,12/23/11
