,Company
0,Bluerock Residential Growth
1,Economic Investment Trust
2,CoreSite Realty Corp
3,Mid-America Apartment Communities
4,AXIS Capital Holdings
5,Bank of New
6,Boston Properties
7,FNB Corp
8,Kayne Anderson MLP
9,Interstate Power &amp;
10,Public Storage
11,Simon Property Group
12,Wells Fargo &amp;
13,Apollo Commercial Real
14,CBL &amp; Associates
15,"Connecticut Water Service,"
16,Georgia Power Co
17,First Horizon National
18,Gabelli Healthcare &amp;
19,International Shipholding Corp
20,Synovus Financial Corp
21,Radiant Logistics
22,Santander Finance Preferred
23,MTGE Investment Corp
24,BB&amp;T Corp
25,Consumers Energy Co
26,Gabelli Go Anywhere
27,Southern California Gas
28,Entergy Arkansas
29,Connecticut Light &amp;
30,EPR Properties
31,Kansas City Southern
32,MidAmerican Energy Co
33,Wintrust Financial Corp
34,General Electric Capital
35,Intl Paper Co
36,Alabama Power Co
37,Banc of California
38,"Welltower, Inc"
39,Alexandria Real Estate
40,Freddie Mac
41,RAIT Financial Trust
42,Teekay Offshore Partners
43,Santander Holdings USA
44,EI du Pont
45,OFG Bancorp
46,Wisconsin Electric Power
47,TCF Financial Corp
48,PNC Financial Services
49,KeyCorp
50,American Homes 4
51,IBERIABANK Corp
52,Prudential plc
53,New York Mortgage
54,New England Power
55,Fannie Mae
56,AdCare Health Systems
57,Colony NorthStar
58,Bancroft Fund Ltd
59,Valley National Bancorp
60,Gramercy Property Trust
61,SB Financial Group
62,Safe Bulkers
63,Sun Communities
64,AmTrust Financial Services
65,CenterPoint Properties Trust
66,Charles Schwab Corp
67,Connecticut Natural Gas
68,"Legacy Reserves, LP"
69,"Teekay LNG Partners,"
70,Fifth Third Bancorp
71,Retail Properties of
72,GasLog Ltd
73,Gulf Power Co
74,Hovnanian Enterprises
75,Rural Cellular Corp
76,Arbor Realty Trust
77,Eagle Point Credit
78,Gladstone Investment Corp
79,Sabra Health Care
80,Customers Bancorp
81,First Republic Bank
82,Stag Industrial
83,Power REIT
84,Kimco Realty Corp
85,Stifel Financial Corp
86,Pacific Gas &amp;
87,EverBank Financial Corp
88,"Citigroup, Inc"
89,HSBC Holdings plc
90,KKR Financial Holdings
91,M&amp;T Bank Corp
92,Boston Private Financial
93,LaSalle Hotel Properties
94,Sunstone Hotel Investors
95,NSTAR Electric Co
96,Digital Realty Trust
97,Mitcham Industries
98,N/A
99,City Office REIT
100,Indianapolis Power &amp;
101,ARMOUR Residential REIT
102,Mississippi Power Co
