,0,1,2
0,ARK,"BlackRock Senior High Income Portfolio, Inc.",896665
1,BAF,BlackRock Municipal Income Investment Quality Trust,1181026
2,BAT,"BlackRock Advantage Term Trust, Inc.",.
3,BBF,BlackRock Municipal Income Investment Trust,1137392
4,BBN,BlackRock Build America Bond Trust,.
5,BCF,BlackRock Real Asset Equity Trust,1368893
6,BCK,BlackRock California Insured Municipal Income Trust,1181027
7,BCL,BlackRock California Municipal Income Trust II,1176196
8,BCT,"BlackRock Broad Investment Grade 2009 Term Trust, Inc.",892789
9,BCX,BlackRock Resources & Commodities Strategy Trust,.
10,BDT,BlackRock Strategic Dividend Achievers Trust,1277350
11,BDV,BlackRock Dividend Achievers Trust,1265316
12,BFC,BlackRock California Insured 2008 Municipal Term Trust,.
13,BFD,BlackRock Global Equity Income Trust,1386369
14,BFK,BlackRock Municipal Income Trust,1137393
15,BFO,BlackRock Florida Municipal 2020 Term Trust,1181249
16,BFY,BlackRock New York Municipal Income Trust II,1176197
17,BFZ,BlackRock California Municipal Income Trust,1137391
18,BGR,BlackRock Global Energy and Resources Trust,1306550
19,BGY,BlackRock International Growth and Income Trust,1393299
20,BHD,BlackRock Strategic Bond Trust,1165216
21,BHK,BlackRock Core Bond Trust,1160864
22,BHL,BlackRock Defined Opportunity Credit Trust,1412914
23,BHV,BlackRock Virginia Municipal Bond Trust,1169034
24,BHY,BlackRock High Yield Trust,1068234
25,BIE,BlackRock Municipal Bond Investment Trust,1169028
26,BIT,BlackRock Multi-Sector Income Trust,
27,BJZ,BlackRock California Municipal 2018 Term Trust,1159038
28,BKK,"BlackRock Municipal 2020 Term Trust, Inc.",1181259
29,BKN,"BlackRock Investment Quality Municipal Trust, Inc.",894242
30,BKT,"BlackRock Income Trust, Inc.",832327
31,BLE,BlackRock Municipal Income Trust II,1176194
32,BLH,BlackRock New York 2018 Municipal Term Trust,1159039
33,BLJ,BlackRock New Jersey Municipal Bond Trust,1169031
34,BLN,BlackRock New York Insured 2008 Municipal Term Trust,.
35,BLW,BlackRock Limited Duration Income Trust,1233681
36,BME,BlackRock Health Sciences Trust,1314966
37,BMN,"BlackRock Municipal Target Term, Inc.",.
38,BMT,BlackRock Insured Municipal Term Trust,882346
39,BNA,BlackRock Income Opportunity Trust,880280
40,BNJ,BlackRock New Jersey Municipal Income Trust,1137440
41,BNY,BlackRock New York Municipal Income Trust,1137390
42,BOE,BlackRock Global Opportunities Equity Trust,1320375
43,BPK,BlackRock Municipal 2018 Term Trust,1159040
44,BPP,BlackRock Preferred Opportunity Trust,1213169
45,BPS,BlackRock Pennsylvania Strategic Municipal Trust,1089821
46,BQH,BlackRock New York Municipal Bond Trust,1167470
47,BQR,BlackRock EcoSolutions Investment Trust,1403238
48,BQT,"BlackRock Investment Quality Term Trust, Inc.",.
49,BQY,BlackRock S&P Quality Rankings Global Equity Managed Trust,1280936
50,BRF,BlackRock Florida Insured 2008 Municipal Term Trust,.
51,BRM,BlackRock Insured Municipal 2008 Term Trust,.
52,BSD,BlackRock Strategic Municipal Trust,1089094
53,BSE,BlackRock New York Insured Municipal Income Trust,1181024
54,BTA,BlackRock Long-Term Municipal Advantage Trust,1343793
55,BTZ,BlackRock Preferred and Equity Advantage Trust,1379384
56,BUI,BlackRock Utility & Infrastructure Trust,.
57,BWC,BlackRock World Investment Trust,1336777
58,BYM,BlackRock Insured Municipal Income Trust,1181187
59,BZA,BlackRock California Municipal Bond Trust,1169027
60,BZM,BlackRock Maryland Municipal Bond Trust,1169029
61,CII,"BlackRock Enhanced Capital & Income Fund, Inc",1278895
62,DVF,BlackRock Diversified Income Strategies Fund,1303649
63,EGF,BlackRock Enhanced Government Fund,1336050
64,FRB,"BlackRock Floating Rate Income Strategies Fund II, Inc",1269143
65,MFL,BlackRock MuniHoldings Investment Quality Fund,1045126
66,MFT,BlackRock MuniYield Investment Quality Fund,891188
67,MNE,BlackRock Muni New York Intermediate Duration Fund,1232863
68,MUI,BlackRock Muni Intermediate Duration Fund,1232860
69,MVT,"BlackRock MuniVest Fund II, Inc.",897269
70,PSW,BlackRock Preferred & Corporate Income Strategies Fund,1229876
71,PSY,"BlackRock Credit Allocation Income Trust II, Inc",1215664
72,RAA,BlackRock California Investment Quality Municipal Trust,902722
73,RFA,BlackRock Florida Investment Quality Municipal Trust,902719
74,RNJ,BlackRock New Jersey Investment Quality Municipal Trust,902731
75,RNY,BlackRock New York Investment Quality Municipal Trust,902717
