ticker,name,sec_fileno
ACG,"AllianceBernstein Income Fund, Inc",816754
ACP,Avenue Income Credit Strategies Fund,.
ACV,AllianzGI Diversified Income & Convertible Fund,
ADF,"ACM Managed Dollar Income Fund, Inc.",910524
ADX,Adams Express Company,2230
AFB,AllianceBernstein National Municipal Income Fund,1162027
AFT,Apollo Senior Floating Rate Fund Inc,.
AGC,Advent/Claymore Global Convertible Securities & Income Fund,1391461
AGD,Alpine Global Dynamic Dividend Fund,1362481
AIF,Apollo Tactical Income Fund Inc,
AINV,Apollo Investment Corp,1278752
AKP,Alliance California Municipal Income Fund,1162028
ALD,Allied Capital Corporation,3906
ALM,Allmerica Securities Trust,.
AMF,"ACM Managed Income Fund, Inc.",.
AMO,Alliance All-Market Advantage Fund,.
AMU,"ACM Municipal Securities Income Fund, Inc.",.
AOD,Alpine Total Dynamic Dividend Fund,1379400
AOF,"ACM Government Opportunity Fund, Inc.",.
APB,"Asia Pacific Fund, Inc.",795618
APF,Morgan Stanley Asia Pacific Fund,919808
APX,"Apex Municipal Fund, Inc.",817998
ARDC,Ares Dynamic Credit Allocation Fund,
ARK,"BlackRock Senior High Income Portfolio, Inc.",896665
ARMF,Ares Multi-Strategy Credit Fund,
ASA,ASA Limited,1230869
ASG,Liberty All-Star Growth Fund,786035
ASP,"American Strategic Income Portfolio, Inc.",878930
AVK,Advent Claymore Convertible Securities and Income Fund,1219120
AWF,"AllianceBernstein Global High Income Fund, Inc",906013
AWG,Alliance World Dollar Government Fund,.
AWP,Alpine Global Premier Properties Fund,1390195
AYN,Alliance New York Municipal Income Fund,1162030
BAF,BlackRock Municipal Income Investment Quality Trust,1181026
BAT,"BlackRock Advantage Term Trust, Inc.",.
BBDC,Brantley Capital Corp,1021009
BBF,BlackRock Municipal Income Investment Trust,1137392
BBK,Blackrock Municipal Bond Trust,1167467
BBN,BlackRock Build America Bond Trust,.
BCF,BlackRock Real Asset Equity Trust,1368893
BCK,BlackRock California Insured Municipal Income Trust,1181027
BCL,BlackRock California Municipal Income Trust II,1176196
BCT,"BlackRock Broad Investment Grade 2009 Term Trust, Inc.",892789
BCV,"Bancroft Convertible Fund, Inc.",9521
BCX,BlackRock Resources & Commodities Strategy Trust,.
BDF,1838 Bond-Debenture Trading Fund,30125
BDT,BlackRock Strategic Dividend Achievers Trust,1277350
BDV,BlackRock Dividend Achievers Trust,1265316
BEO,Enhanced S&P 500 Covered Call Fund,1331948
BEP,S&P 500 Covered Call Fund,1307155
BFC,BlackRock California Insured 2008 Municipal Term Trust,.
BFD,BlackRock Global Equity Income Trust,1386369
BFK,BlackRock Municipal Income Trust,1137393
BFO,BlackRock Florida Municipal 2020 Term Trust,1181249
BFY,BlackRock New York Municipal Income Trust II,1176197
BFZ,BlackRock California Municipal Income Trust,1137391
BGB,Blackstone / GSO Strategic Credit Fund,
BGH,Barings Global Short Duration High Yield Fund,
BGR,BlackRock Global Energy and Resources Trust,1306550
BGX,Blackstone / GSO Long-Short Credit Income Fund,.
BGY,BlackRock International Growth and Income Trust,1393299
BHD,BlackRock Strategic Bond Trust,1165216
BHK,BlackRock Core Bond Trust,1160864
BHL,BlackRock Defined Opportunity Credit Trust,1412914
BHV,BlackRock Virginia Municipal Bond Trust,1169034
BHY,BlackRock High Yield Trust,1068234
BIE,BlackRock Municipal Bond Investment Trust,1169028
BIF,"Boulder Growth & Income Fund, Inc.",102426
BIT,BlackRock Multi-Sector Income Trust,
BJZ,BlackRock California Municipal 2018 Term Trust,1159038
BKK,"BlackRock Municipal 2020 Term Trust, Inc.",1181259
BKN,"BlackRock Investment Quality Municipal Trust, Inc.",894242
BKT,"BlackRock Income Trust, Inc.",832327
BLE,BlackRock Municipal Income Trust II,1176194
BLH,BlackRock New York 2018 Municipal Term Trust,1159039
BLJ,BlackRock New Jersey Municipal Bond Trust,1169031
BLN,BlackRock New York Insured 2008 Municipal Term Trust,.
BLU,Blue Chip Value Fund,810439
BLW,BlackRock Limited Duration Income Trust,1233681
BME,BlackRock Health Sciences Trust,1314966
BMN,"BlackRock Municipal Target Term, Inc.",.
BMT,BlackRock Insured Municipal Term Trust,882346
BNA,BlackRock Income Opportunity Trust,880280
BNJ,BlackRock New Jersey Municipal Income Trust,1137440
BNY,BlackRock New York Municipal Income Trust,1137390
BOE,BlackRock Global Opportunities Equity Trust,1320375
