,0,1,2
0,ARMF,ARES MULTI-STRATEGY CREDIT FUND,0001684358
1,ARMF,ARES MULTI-STRATEGY CREDIT FUND,0001572280
2,AWG,ALLIANCE WORLD DOLLAR GOVERNMENT FUND,0000906013
3,AWG,ALLIANCE WORLD DOLLAR GOVERNMENT FUND,0000890881
4,EIF,EATON VANCE INSURED FLORIDA MUNICIPAL BOND FUND,0001196870
5,EIF,EATON VANCE INSURED FLORIDA MUNICIPAL BOND FUND,0001196870
6,GIF,GLOBAL INCOME FUND,0000876717
7,GIF,GLOBAL INCOME FUND,0001391733
8,GIF,GLOBAL INCOME FUND,0001031235
9,GIF,GLOBAL INCOME FUND,0000828781
10,GIF,GLOBAL INCOME FUND,0000891332
11,GIF,GLOBAL INCOME FUND,0000912605
12,GIF,GLOBAL INCOME FUND,0001002519
13,GIF,GLOBAL INCOME FUND,0001354161
14,GIF,GLOBAL INCOME FUND,0001031235
15,GIF,GLOBAL INCOME FUND,0001031235
16,GIF,GLOBAL INCOME FUND,0000852067
17,GIF,GLOBAL INCOME FUND,0000793741
18,GIF,GLOBAL INCOME FUND,0000793741
19,GIF,GLOBAL INCOME FUND,0000862681
20,GIF,GLOBAL INCOME FUND,0000793741
21,GIF,GLOBAL INCOME FUND,0000831015
22,GIF,GLOBAL INCOME FUND,0000861002
23,GIF,GLOBAL INCOME FUND,0000880943
24,GIF,GLOBAL INCOME FUND,0000828803
25,GIF,GLOBAL INCOME FUND,0000828803
26,IIS,CIGNA INVESTMENT SECURITIES,0000049975
27,IIS,CIGNA INVESTMENT SECURITIES,0000049975
28,JLS,NUVEEN MORTGAGE OPPORTUNITY TERM FUND,0001479238
29,JLS,NUVEEN MORTGAGE OPPORTUNITY TERM FUND,0001472215
30,MUO,PIONEER INTEREST SHARES,0000069407
31,MUO,PIONEER INTEREST SHARES,0000069407
32,MUO,PIONEER INTEREST SHARES,0000069407
33,PGM,PUTNAM INVESTMENT GRADE MUNICIPAL TRUST,0000892884
34,PGM,PUTNAM INVESTMENT GRADE MUNICIPAL TRUST,0000912491
35,PGM,PUTNAM INVESTMENT GRADE MUNICIPAL TRUST,0000855048
36,PMG,PUTNAM MUNICIPAL BOND FUND,0000202958
37,PMG,PUTNAM MUNICIPAL BOND FUND,0000202957
38,VIT,VAN KAMPEN HIGH INCOME TRUST,0000846671
39,VIT,VAN KAMPEN HIGH INCOME TRUST,0000846671
40,VIT,VAN KAMPEN HIGH INCOME TRUST,0000843506
41,VKA,VAN KAMPEN ADVANTAGE MUNICIPAL INCOME TRUST,0000908993
42,VKA,VAN KAMPEN ADVANTAGE MUNICIPAL INCOME TRUST,0000908993
43,VKA,VAN KAMPEN ADVANTAGE MUNICIPAL INCOME TRUST,0000889526
44,VMN,DELAWARE INVESTMENTS MINNESOTA MUNICIPAL INCOME FUND,0000895658
45,VMN,DELAWARE INVESTMENTS MINNESOTA MUNICIPAL INCOME FUND,0000895658
46,VMN,DELAWARE INVESTMENTS MINNESOTA MUNICIPAL INCOME FUND,0000910347
47,VMN,DELAWARE INVESTMENTS MINNESOTA MUNICIPAL INCOME FUND,0000884174
