,0,1,2
0,ACP,Avenue Income Credit Strategies Fund,.
1,AFT,Apollo Senior Floating Rate Fund Inc,.
2,ALM,Allmerica Securities Trust,.
3,AMF,"ACM Managed Income Fund, Inc.",.
4,AMO,Alliance All-Market Advantage Fund,.
5,AMU,"ACM Municipal Securities Income Fund, Inc.",.
6,AOF,"ACM Government Opportunity Fund, Inc.",.
7,AWG,Alliance World Dollar Government Fund,.
8,BAT,"BlackRock Advantage Term Trust, Inc.",.
9,BBN,BlackRock Build America Bond Trust,.
10,BCX,BlackRock Resources & Commodities Strategy Trust,.
11,BFC,BlackRock California Insured 2008 Municipal Term Trust,.
12,BGX,Blackstone / GSO Long-Short Credit Income Fund,.
13,BLN,BlackRock New York Insured 2008 Municipal Term Trust,.
14,BMN,"BlackRock Municipal Target Term, Inc.",.
15,BQT,"BlackRock Investment Quality Term Trust, Inc.",.
16,BRF,BlackRock Florida Insured 2008 Municipal Term Trust,.
17,BRM,BlackRock Insured Municipal 2008 Term Trust,.
18,BSL,Blackstone / GSO Senior Floating Rate Term Fund,.
19,BUI,BlackRock Utility & Infrastructure Trust,.
20,BZF,"Brazil Fund, Inc.",.
21,BZL,"Brazilian Equity Fund, Inc.",.
22,CEM,ClearBridge Energy MLP Fund Inc,.
23,CFX,Colonial Insured Municipal Fund,.
24,CIM,CIM High Yield Securities,.
25,CNM,Colonial New York Insured Municipal Fund,.
26,CNN,"Prospect Street Income Shares, Inc.",.
27,CVF,"Castle Convertible Fund, Inc.",.
28,DCG,"Dreyfus California Municipal Income, Inc.",.
29,DCW,DCW Total Return Fund,.
30,DIV,John Hancock Patriot Select Dividend Trust,.
31,DMO,Western Asset Mortgage Defined Opportunity Fund Inc,.
32,DNM,"Dreyfus New York Municipal Income, Inc.",.
33,DPG,Duff & Phelps Global Utility Income Fund Inc,.
34,EDF,Stone Harbor Emerging Markets Income Fund,.
35,EDF,Salomon Brothers Emerging Markets Income Fund 2,.
36,EF,"Europe Fund, Inc.",.
37,EIF,Eaton Vance Insured Florida Municipal Bond Fund,.
38,EMO,ClearBridge Energy MLP Opportunity Fund Inc,.
39,EOT,Eaton Vance National Municipal Opportunities Trust,.
40,EWF,The European Warrant Fund,.
41,EXD,Eaton Vance Tax-Advantaged Bond and Option Strategies Fund,.
42,FIF,First Trust Energy Infrastructure Fund,.
43,FMI,Franklin Multi-Income Trust,.
44,FRF,"France Growth Fund, Inc.",.
45,FSD,First Trust High Income Long/Short Fund,.
46,FTD,"Fort Dearborn Income Securities, Inc.",.
47,FTT,Federated Enhanced Treasury Income Fund,.
48,FVD,First Trust Value Line Dividend Fund,.
49,FVI,First Trust Value Line & Ibbotson Equity Allocation Fund,.
50,GBAB,Guggenheim Build America Bonds Managed Duration Trust,.
51,GDO,Western Asset Global Corporate Defined Opportunity Fund Inc,.
52,GEQ,Guggenheim Equal Weight Enhanced Equity Income Fund,.
53,GER,"Germany Fund, Inc.",.
54,GIF,Global Income Fund,.
55,GNT,"Gabelli Natural Resources, Gold & Income Trust",.
56,GVT,Morgan Stanley Government Income Trust,.
57,HAT,"Hatteras Income Securities, Inc",.
58,HEQ,John Hancock Hedged Equity & Income Fund,.
59,HQL,H&Q Life Sciences Investors,.
60,HTO,"Hyperion 2005 Investment Grade Opportunity Term Trust, Inc.",.
61,HYI,Western Asset High Yield Defined Opportunity Fund Inc,.
62,IDE,"ING Infrastructure, Industrials & Materials Fund",.
63,IGI,Western Asset Investment Grade Defined Opportunity Trust Inc,.
64,IHD,ING Emerging Markets High Dividend Equity Fund,.
65,IIS,CIGNA Investment Securities,.
66,INF,Brookfield Global Listed Infrastructure Income Fund Inc,.
67,JHFT,"John Hancock Financial Trends Fund, Inc.",.
68,JLS,Nuveen Mortgage Opportunity Term Fund,.
69,JMF,Nuveen Energy MLP Total Return Fund,.
70,JMT,Nuveen Mortgage Opportunity Term Fund 2,.
71,JSD,Nuveen Short Duration Credit Opportunities Fund,.
72,KGT,Scudder Intermediate Government Trust,.
73,KMF,"Kayne Anderson Midstream/Energy Fund, Inc",.
74,LND,"Lincoln National Income Fund, Inc.",.
75,LNV,"Lincoln National Convertible Securities Fund, Inc.",.
76,MF,"The Malaysia Fund, Inc.",.
77,MGC,"Investors First Fund, Inc.",.
78,MIF,"MuniInsured Fund, Inc.",.
79,MPT,Salomon Brothers Municipal Partners Fund II,.
80,MTT,Western Asset Municipal Defined Opportunity Trust Inc,.
81,MUO,Pioneer Interest Shares,.
82,NBB,Nuveen Build America Bond Fund,.
83,NBD,Nuveen Build America Bond Opportunity Fund,.
84,NBM,Nations Balanced Target Maturity Fund,.
85,NCB,Nuveen California Municipal Value Fund 2,.
86,NEV,Nuveen Enhanced Municipal Value Fund,.
87,NGF,Nations Government Income Term Trust 2004,.
88,NJV,Nuveen New Jersey Municipal Value Fund,.
89,NPN,Nuveen Pennsylvania Municipal Value Fund,.
90,NRI,Neuberger Berman Realty Income Fund,.
91,NRL,Neuberger Berman Real Estate Income Fund,.
92,NTG,"Tortoise MLP Fund, Inc",.
93,NUW,Nuveen Municipal Value Fund 2,.
94,NYV,Nuveen New York Municipal Value Fund 2,.
95,OMS,Oppenheimer Multi-Sector Income Trust,.
96,PBF,Pioneer Tax Advantaged Balanced Trust,.
97,PCA,Putnam California Investment Grade Municipal Trust,.
98,PCV,Putnam High Income Opportunities Trust,.
99,PDF,John Hancock Patriot Premium Dividend Fund I,.
100,PFO,Flaherty & Crumrine Preferred Income Opportunity Fund Incorporated,.
101,PGD,John Hancock Patriot Global Dividend Fund,.
102,PGF,"Progressive Return Fund, Inc.",.
103,PGM,Putnam Investment Grade Municipal Trust,.
104,PHH,Pioneer High Income Trust,.
105,PHY,Prospect Street High Income Portfolio Inc.,.
106,PMG,Putnam Municipal Bond Fund,.
107,PMH,Putnam Tax-Free Health Care Fund,.
108,PMN,Putnam New York Investment Grade Municipal,.
109,PMT,Putnam Master Income Trust,.
110,PPF,John Hancock Patriot Preferred Dividend Fund,.
111,PSF,"Cohen & Steers Select Preferred and Income, Inc",.
112,PTM,Putnam Managed High Yield Trust,.
113,PYM,Putnam High Yield Municipal Trust,.
114,RENN,Renaissance Capital Growth & Income III ,.
115,RIF,AEW Real Estate Income Fund,.
116,RMH,RMK High Income Fund,.
117,RRE,AIM Select Real Estate Income Fund,.
118,RSF,RMK Strategic Income Fund,.
119,SAF,"Scudder New Asia Fund, Inc.",.
120,SBF,SALOMON BROTHERS FUND,.
121,SBG,Salomon Brothers 2008 Worldwide Dollar Government Term Trust,.
122,SEL,"Seligman Select Municipal Fund, Inc.",.
123,SMF,Salient MLP & Energy Infrastructure Fund,.
124,SOA,Southern Africa Fund,.
125,SQF,"Seligman Quality Municipal Fund, Inc.",.
126,STK,"Columbia Seligman Premium Technology Growth, Inc",.
127,TICC,Technology Investment Capital Corp,.
128,TPZ,"Tortoise Power & Energy Infrastructure Fund, Inc",.
129,TTP,"Tortoise Pipeline & Energy Fund, Inc",.
130,TUX,Tuxis Corporation,.
131,TY,Tri-Continental Corporation,.
132,VAP,Van Kampen Advantage Pennsylvania Municipal Income Trust,.
133,VES,"Vestaur Securities, Inc.",.
134,VFM,Van Kampen Florida Quality Municipal Trust,.
135,VIC,Van Kampen Trust For Investment Grade California Municipals,.
136,VIG,Van Kampen Investment Grade Municipal Trust,.
137,VIN,Van Kampen Income Trust,.
138,VIT,Van Kampen High Income Trust,.
139,VKA,Van Kampen Advantage Municipal Income Trust,.
140,VKC,Van Kampen California Municipal Trust,.
141,VKS,Van Kampen Strategic Sector Municipal Trust,.
142,VKV,Van Kampen Value Municipal Income Trust,.
